thema_index,thema_code,thema_name
1,360,REITs
2,359,지뢰탐지
3,358,5G
4,357,애플 - 아이폰6
5,356,바이오가스
6,355,미세먼지
7,354,3D 프린팅
8,353,스마트카 - 전장화
9,352,분자 진단
10,351,지문 인식
11,350,홍체 인식
12,349,음성 인식
13,348,동작 인식
14,347,비트코인
15,346,사물인터넷
16,345,빅 데이터
17,344,Flexible 디스플레이
18,332,스마트기기 부품
19,334,컨텐츠
20,343,고배당주(중간 배당)
21,342,환율 위안/달러 하락(위안강세)
22,341,환율 달러/유로 상승(유로강세)
23,340,금리 하락 수혜주
24,339,금리 상승 수혜주
25,338,환율 엔/달러 하락(엔강세) 수혜
26,337,환율 원/달러 하락(원강세) 수혜
27,336,환율 원/달러 상승(원약세) 수혜
28,335,전자책
29,333,원자재
30,331,반도체 시스템반도체
31,329,바이오 디젤
32,326,"모바일 SW - OS, 임베디드 등"
33,322,모바일 게임
34,317,수소연료 전지차
35,316,무선 충전
36,313,ESS - 에너지저장시스템
37,314,요트 마리나
38,309,전자주민증
39,307,SSD
40,302,바이오베터
41,301,바이오 진단장비
42,295,블랙 박스
43,294,플랜트 기자재
44,291,평창 동계올림픽 수혜주
45,289,바이오폴리머
46,288,근거리무선통신(NFC)
47,286,나노 - 탄소나노튜브(CNT)
48,285,나노 - 필름
49,282,소셜커머스
50,280,AI - 조류인플루엔저
51,279,조선기자재
52,277,그래핀
53,278,해저터널
54,274,프린터부품
55,275,SI(시스템통합)
56,273,금융자동화기기
57,272,산업폐기물
58,271,전자결제
59,254,탄소배출권
60,264,태양전지 - 박막형
61,260,클라우드컴퓨팅
62,267,태양전지 - 모듈/인버터
63,263,태양광 - 잉곳/웨이퍼
64,269,태양광 -  장비/부품
65,262,태양광 - 폴리실리콘
66,257,철도
67,256,지진
68,255,로봇
69,253,전자상거래
70,245,PCB
71,244,터치스크린
72,239,스마트그리드
73,236,스마트 TV(IP TV)
74,233,애그플레이션
75,237,스마트카드
76,234,신종플루
77,240,LCD장비
78,224,원자력발전
79,238,스마트워크
80,242,LED 디스플레이
81,248,핵융합
82,247,홈네트워크
83,246,CCTV
84,243,LED 조명
85,241,LCD소재
86,225,우주항공
87,223,위치기반서비스(LBS)
88,206,전기자동차
89,216,U-헬스케어 - 의료기기
90,204,자전거 - 모터/전지
91,203,자전거 - 제조/도로
92,198,자동차경량화
93,217,U-헬스케어 - 의료정보솔루션
94,201,자원개발
95,211,풍력 - 설치시공
96,196,유비쿼터스
97,205,저출산대책
98,215,RFID - 칩
99,214,RFID - 시스템
100,213,황사
101,210,풍력 - 발전시스템
102,209,풍력 - 부품기자재
103,207,전력설비
104,200,자동차연비규제강화
105,199,자동차부품
106,163,국내상장중국기업
107,130,반도체 후공정 장비
108,148,고배당주(12월 결산)
109,162,교육/온라인 교육
110,141,송유관/가스관
111,145,고배당주(3월 결산)
112,153,3D 부품
113,190,바이오 신약
114,182,수처리 부품/시스템
115,177,매연저감장치
116,170,나노 바이오
117,132,반도체패키징
118,136,정보보안
119,144,슈퍼 박테리아
120,180,AMOLED 장비
121,179,AMOLED 소재
122,175,셋톱박스
123,149,2차전지 원료/소재
124,137,블루투스
125,135,방위산업
126,191,바이오 툴/서비스
127,192,바이오 시밀러
128,150,2차전지 부품/패키지
129,189,제대혈
130,188,줄기세포 등
131,184,하수처리
132,174,대북송전
133,171,개성공단
134,164,그린홈 설비
135,159,구제역 백신
136,143,연료전지
137,142,수산주
138,134,반도체-Fabless
139,131,반도체 소재
140,129,반도체 전공정 장비
141,49,중국 소비확대
142,53,바이오 에너지
143,51,태양광 발전
